Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BCH,2018-08-19,557.9735042336,592.7744727602,613.2210559642,535.0498907719
BCH,2018-08-20,575.3966184274,554.3415310487,582.9561043537,539.205158268
BCH,2018-08-21,518.287702851,575.3966198557,577.7719485714,511.9922136786
BCH,2018-08-22,537.3629238649,512.2152139705,544.34423516,510.0912095088
BCH,2018-08-23,519.7512107109,537.8667768763,575.9307865804,509.9225884967
BCH,2018-08-24,529.4497278961,518.8346335013,534.8878028827,512.1605359672
BCH,2018-08-25,533.4703370317,530.554842726,539.4778613955,519.4705605165
BCH,2018-08-26,537.5677159165,533.1536313319,543.9616376577,527.6657254469
BCH,2018-08-27,521.8694351013,537.5682466409,539.1632528786,515.0206069742
BCH,2018-08-28,537.0344689375,523.2860076724,537.3268054823,519.4601181671
BCH,2018-08-29,567.4312488268,536.5259583179,573.9103583005,535.7700686267
BCH,2018-08-30,558.4173190962,565.5358920464,569.9260574863,545.1743449775
BCH,2018-08-31,537.7100566563,554.6586736039,557.6612631697,525.8639035722
BCH,2018-09-01,543.3693189787,537.7099329465,547.9588267788,532.9310183138
BCH,2018-09-02,618.4048271577,543.369367652,645.7849779156,540.9123896
BCH,2018-09-03,643.6814525239,618.4048271577,660.1246216072,601.133215267
BCH,2018-09-04,628.8803276814,643.7884521972,656.28340462,622.5474941875
BCH,2018-09-05,624.786772048,628.6735289599,650.9641662225,623.057697339
BCH,2018-09-06,538.4151498536,626.0659819595,632.9728871866,525.0486397904
BCH,2018-09-07,512.8474676942,538.4151498227,542.6835162808,487.7234168191
BCH,2018-09-08,497.328807128,519.6337049214,529.0173908346,492.6176257337
BCH,2018-09-09,472.0425032472,497.328806735,506.5545131392,460.2840970386
BCH,2018-09-10,478.6090431141,473.4308346603,495.2254161666,461.7786586473
BCH,2018-09-11,465.9561473772,478.6090397367,488.935752639,462.996655445
BCH,2018-09-12,465.2870639838,465.9572895357,466.2535372058,464.8095772732
BCH,2018-09-13,465.0983595969,465.2837668237,465.35036025,464.037616544
BCH,2018-09-14,466.0389996354,465.1107839349,466.3185049552,465.1089682986
BCH,2018-09-15,465.5908185555,466.0392855256,466.3468342885,464.9182033367
BCH,2018-09-16,465.6078607819,465.4531983258,465.8646634421,465.3464714334
BCH,2018-09-17,465.6444135309,465.6723076791,465.6773339741,465.0474254134
BCH,2018-09-18,463.8567550609,465.6440968838,465.9063921315,463.599705831
BCH,2018-09-19,465.0899126245,463.8567550526,465.2806050321,463.7593767579
BCH,2018-09-20,464.443040434,465.002384568,465.2198922694,464.4183003
