date;close;tradecount;close
08/04/2021 00:00;5,58722E+12;5914;55953,45
07/04/2021 00:00;5,59535E+12;2206433;57991,15
06/04/2021 00:00;5,79912E+12;1960513;59129,99
05/04/2021 00:00;5,913E+12;2035877;58202,01
04/04/2021 00:00;5,8202E+12;1499113;57051,94
03/04/2021 00:00;5,70519E+12;1606805;58950,01
02/04/2021 00:00;5,895E+12;1666356;58720,44
01/04/2021 00:00;5,87204E+12;1594431;58740,55
31/03/2021 00:00;5,87406E+12;1928224;58746,57
30/03/2021 00:00;5,87466E+12;1612744;57635,47
29/03/2021 00:00;5,76355E+12;1983437;55777,63
28/03/2021 00:00;5,57776E+12;1551283;55817,14
27/03/2021 00:00;5,58171E+12;1528776;55025,59
26/03/2021 00:00;5,50256E+12;1773150;51293,78
25/03/2021 00:00;5,12938E+12;2099425;52303,65
24/03/2021 00:00;5,23037E+12;2401988;54340,89
23/03/2021 00:00;5,43409E+12;1740349;54083,25
22/03/2021 00:00;5,40833E+12;1927345;57351,56
21/03/2021 00:00;5,73516E+12;1773546;58102,28
20/03/2021 00:00;5,81023E+12;1724131;58030,01
19/03/2021 00:00;5,803E+12;1885830;57648,16
18/03/2021 00:00;5,76482E+12;2040947;58912,97
17/03/2021 00:00;5,8913E+12;2204296;56900,75
16/03/2021 00:00;5,69008E+12;2241208;55605,2
15/03/2021 00:00;5,56052E+12;2683815;58968,31
14/03/2021 00:00;5,89683E+12;1829769;61188,39
13/03/2021 00:00;6,11884E+12;2559002;57221,72
12/03/2021 00:00;5,72217E+12;2489931;57773,16
11/03/2021 00:00;5,77732E+12;2509970;55851,59
10/03/2021 00:00;5,58516E+12;2647284;54884,5
09/03/2021 00:00;5,48845E+12;2194398;52375,17
08/03/2021 00:00;5,23752E+12;1999401;50971,75
07/03/2021 00:00;5,09718E+12;1758101;48882,2
06/03/2021 00:00;4,88822E+12;1476474;48751,71
05/03/2021 00:00;4,87517E+12;2054216;48374,09
04/03/2021 00:00;4,83741E+12;2291936;50349,37
03/03/2021 00:00;5,03494E+12;2242131;48440,65
02/03/2021 00:00;4,84407E+12;1855583;49587,03
01/03/2021 00:00;4,9587E+12;2147223;45135,66
28/02/2021 00:00;4,51357E+12;1838345;46106,43
27/02/2021 00:00;4,61064E+12;1757720;46276,87
26/02/2021 00:00;4,62769E+12;2371766;47073,73
25/02/2021 00:00;4,70737E+12;2305679;49676,2
24/02/2021 00:00;4,96762E+12;2194532;48891
23/02/2021 00:00;4,8891E+12;3825196;54087,67
22/02/2021 00:00;5,40877E+12;3313083;57408,57
21/02/2021 00:00;5,74086E+12;1950533;55841,19
20/02/2021 00:00;5,58412E+12;2642846;55906
19/02/2021 00:00;5,5906E+12;2339215;51552,6
18/02/2021 00:00;5,15526E+12;1891592;52119,71
17/02/2021 00:00;5,21197E+12;2514374;49133,45
16/02/2021 00:00;4,91335E+12;2199849;47911,1
15/02/2021 00:00;4,79111E+12;2313155;48577,79
14/02/2021 00:00;4,85778E+12;2090070;47153,69
13/02/2021 00:00;4,71537E+12;2058823;47287,6
12/02/2021 00:00;4,72876E+12;2418841;47969,51
11/02/2021 00:00;4,79695E+12;2570949;44807,58
10/02/2021 00:00;4,48076E+12;2891592;46420,42
09/02/2021 00:00;4,64204E+12;3119034;46374,87
08/02/2021 00:00;4,63749E+12;3230961;38795,69
07/02/2021 00:00;3,87957E+12;1976357;39186,94
