Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XRP,2018-09-23,0.5584509545,0.5059923582,0.6060144807,0.5058479372
XRP,2018-09-24,0.5111721123,0.5586761772,0.5615535659,0.5077766178
XRP,2018-09-25,0.4735325649,0.511133356,0.53134215,0.4538378076
XRP,2018-09-26,0.4964401082,0.4737002877,0.5477356509,0.4392570127
XRP,2018-09-27,0.5338849669,0.4963771446,0.5691408427,0.4917514894
XRP,2018-09-28,0.5357715034,0.5338854088,0.5530323061,0.5079838054
XRP,2018-09-29,0.5302962346,0.535791287,0.5502610257,0.5171309123
XRP,2018-09-30,0.5729763109,0.5302898261,0.5936665373,0.5269857464
XRP,2018-10-01,0.5886873259,0.5730377312,0.6186173563,0.5607538198
XRP,2018-10-02,0.569233209,0.5886721481,0.5930241869,0.5362919413
XRP,2018-10-03,0.5372729449,0.5504531443,0.5544337969,0.5371007832
XRP,2018-10-04,0.5245485877,0.5379672171,0.5387623214,0.5100946156
XRP,2018-10-05,0.5305966282,0.5288697838,0.5476092562,0.526207343
XRP,2018-10-06,0.521315579,0.5305964075,0.5326353532,0.5112059784
XRP,2018-10-07,0.4881094004,0.5207573953,0.5219820411,0.469315006
XRP,2018-10-08,0.4762582156,0.4882083843,0.5137410291,0.4689653938
XRP,2018-10-09,0.4911587456,0.4831097525,0.4988490718,0.4801303096
XRP,2018-10-10,0.4831976811,0.4911749298,0.4924593444,0.4729686622
XRP,2018-10-11,0.4618352393,0.4831945874,0.4847278095,0.4609799928
XRP,2018-10-12,0.3970477701,0.4643383227,0.4644687587,0.3930831074
XRP,2018-10-13,0.424206361,0.3970468946,0.4476217717,0.3806369983
XRP,2018-10-14,0.4227080781,0.4242058981,0.4302121147,0.4165294747
XRP,2018-10-15,0.4216960027,0.4223237383,0.4297917788,0.4205606921
XRP,2018-10-16,0.4525375651,0.4094498485,0.5029274433,0.3991085767
XRP,2018-10-17,0.4735367328,0.4525270658,0.4783661618,0.4450782284
XRP,2018-10-18,0.4640114072,0.4735225601,0.4907578117,0.4612328433
XRP,2018-10-19,0.452415021,0.4640645476,0.4723051617,0.441452187
XRP,2018-10-20,0.4506733332,0.4524165464,0.4570427655,0.4450432279
XRP,2018-10-21,0.4573790196,0.4512178531,0.460992291,0.4472197501
XRP,2018-10-22,0.4538302216,0.4560941677,0.4604271579,0.4533753856
XRP,2018-10-23,0.4495455489,0.4538230592,0.4551025845,0.445660205
XRP,2018-10-24,0.4550382154,0.4493460773,0.4719172297,0.4347118416
XRP,2018-10-25,0.4533651999,0.458719137,0.4648588951,0.4533651999
XRP,2018-10-26,0.4560473345,0.4530968063,0.4602230049,0.4470246565
XRP,2018-10-27,0.4559608429,0.4560473957,0.4587453711,0.4493429122
XRP,2018-10-28,0.4552890742,0.4556788806,0.457118954,0.4505270328
XRP,2018-10-29,0.4396850761,0.4582035224,0.4608288004,0.4298936473
XRP,2018-10-31,0.4434403446,0.4396631199,0.4471211074,0.437659617
XRP,2018-11-01,0.4537341913,0.4433388965,0.4572551636,0.4350624172
XRP,2018-11-02,0.4560596129,0.453569509,0.4615073328,0.4530860276
XRP,2018-11-03,0.4519492095,0.4561133186,0.4571079033,0.4501398614
XRP,2018-11-04,0.4624682903,0.4519489101,0.4720869699,0.4451106576
XRP,2018-11-05,0.4851239935,0.4624680003,0.4903780891,0.4580180057
XRP,2018-11-06,0.5388686058,0.4933246924,0.5581567911,0.4927429339
XRP,2018-11-08,0.4935090213,0.5388499249,0.5479653514,0.492721053
XRP,2018-11-09,0.4982669888,0.49345969,0.5181682283,0.4909953623
XRP,2018-11-11,0.499394911,0.5004654622,0.5128718461,0.4958610273
XRP,2018-11-13,0.506836842,0.5053962928,0.5272478682,0.4996442228
XRP,2018-11-14,0.4573770279,0.506819477,0.5089598676,0.431487479
XRP,2018-11-15,0.4685874853,0.4573595626,0.4733852454,0.4271433123
XRP,2018-11-17,0.4865827668,0.4797682672,0.4954134137,0.460994566
XRP,2018-11-19,0.5032705526,0.4863958354,0.5207802755,0.4833211617
XRP,2018-11-20,0.4262700695,0.5031938772,0.510621593,0.4084509722
XRP,2018-11-21,0.4410269448,0.4328636905,0.4559770644,0.4146717396
XRP,2018-11-23,0.4094795363,0.4408469151,0.4483378711,0.3945278485
XRP,2018-11-24,0.3706907194,0.4094800698,0.4176103197,0.3648796793
XRP,2018-11-25,0.3728092287,0.3723224686,0.3870779357,0.3229670721
XRP,2018-11-26,0.3494318045,0.3727929286,0.3873560792,0.3369119661
XRP,2018-11-28,0.3851741788,0.3494622796,0.3981789183,0.3405678904
XRP,2018-11-30,0.3613130401,0.3882260995,0.3917218308,0.3533179151
XRP,2018-12-01,0.3706926334,0.3613623318,0.3755509028,0.3562283875
XRP,2018-12-02,0.3676762404,0.3696031273,0.3762726325,0.3629133418
XRP,2018-12-03,0.3511069474,0.3677070718,0.3688921025,0.3457247379
XRP,2018-12-04,0.3526177027,0.3512902467,0.3613621071,0.3400530029
XRP,2018-12-05,0.3380055027,0.3526061011,0.3599081466,0.3374293718
XRP,2018-12-06,0.3180292742,0.3354336775,0.3416227142,0.3180089071
XRP,2018-12-07,0.3049821459,0.3180560951,0.3195960221,0.2886937249
XRP,2018-12-09,0.306504769,0.3050003914,0.3200528341,0.2908923611
XRP,2018-12-10,0.3082728594,0.3066127027,0.3180469011,0.2977583319
XRP,2018-12-11,0.3004662208,0.3086879637,0.3127833534,0.2933022086
XRP,2018-12-12,0.3044677226,0.3004666329,0.3109050787,0.298163243
XRP,2018-12-13,0.2973700081,0.3059610305,0.3068431063,0.2954290383
XRP,2018-12-14,0.2903839568,0.2973446407,0.2994107609,0.2830995258
XRP,2018-12-16,0.2865937234,0.290213849,0.2938814276,0.2805771965
XRP,2018-12-17,0.3218669222,0.2863443869,0.3346165003,0.2850089956
XRP,2018-12-18,0.3354894408,0.3218978181,0.3389036266,0.3200964466
XRP,2018-12-19,0.3556382626,0.3502622516,0.3913097485,0.3434584046
XRP,2018-12-20,0.3728722229,0.3556198103,0.386715125,0.3426483618
XRP,2018-12-21,0.3564480937,0.3728558508,0.3852161539,0.3510681615
