Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
EOS,2018-06-01,12.234963225,12.4269910999,12.5207922479,12.2105086314
EOS,2018-06-02,12.1463202735,12.2563954925,12.425540344,11.9482267176
EOS,2018-06-03,14.6584092476,12.2370720245,15.6892335496,12.1383453293
EOS,2018-06-04,14.5021675632,14.8526358322,15.4604158146,14.2964613977
EOS,2018-06-05,13.6826959155,14.5359786886,14.863221597,13.2668725082
EOS,2018-06-06,14.1296423914,13.6818299066,14.2654454067,12.8394469065
EOS,2018-06-07,13.909973036,14.181631568,14.3008967043,13.385338359
EOS,2018-06-08,14.673605342,13.909973036,14.684362,13.647785146
EOS,2018-06-09,14.003609802,14.673605342,14.8654976,13.57293278
EOS,2018-06-10,14.154721362,14.003609802,15.014005425,13.966733256
EOS,2018-06-11,11.739040509,14.154721362,14.163717054,11.0512968
EOS,2018-06-12,11.3195404671,10.5800670595,11.366507483,10.5061008924
EOS,2018-06-13,10.0191424566,11.4220640065,11.4267163211,9.9554994097
EOS,2018-06-14,10.1828424501,10.0191400489,10.3054245438,9.14666134
EOS,2018-06-15,11.1070565515,10.0415404363,11.4778048556,9.6945299007
EOS,2018-06-16,10.4685496041,11.2317445189,11.2358019119,10.4567150599
EOS,2018-06-17,10.6614521025,10.4686547661,10.8089138633,10.2085536781
EOS,2018-06-18,10.3995413647,10.5478161193,10.7096951723,10.3804238865
EOS,2018-06-19,10.6016196764,10.320061573,10.7883429245,10.129082865
EOS,2018-06-20,10.6530757836,10.6051607382,10.8261788361,10.4227047194
EOS,2018-06-21,10.5764079171,10.6912338331,10.6992101618,10.3009070487
EOS,2018-06-22,10.3816245878,10.597208533,10.6719671419,10.3259322405
EOS,2018-06-23,9.7921428075,10.3779813252,10.6764455334,9.5757697428
EOS,2018-06-24,9.2366388183,9.6846255966,9.797501232,8.1788974004
EOS,2018-06-25,8.9557271525,9.2363527395,9.2672792585,7.1753773396
EOS,2018-06-26,8.1425425851,8.8769380253,8.9171612624,7.8178440019
EOS,2018-06-27,7.623089346,8.1417475038,8.2091998447,7.5946746476
EOS,2018-06-28,8.0071384946,7.6229930979,8.2498097502,7.2971516895
EOS,2018-06-29,7.4795255445,8.0075714717,8.1473094167,7.4243879487
EOS,2018-06-30,7.8539017855,7.4960373246,7.8983984091,7.0954863194
EOS,2018-07-01,8.0449920749,7.8562612,8.2908316249,7.7350440709
EOS,2018-07-02,8.1499225271,8.1310676424,8.2517457144,7.7712717897
EOS,2018-07-03,9.0039545802,8.1504095587,9.10725719,7.9075483316
EOS,2018-07-04,8.7728790475,8.9984242456,9.4231375948,8.748477174
EOS,2018-07-05,8.8512748867,8.8037364279,9.3700959189,8.4842239732
EOS,2018-07-06,8.8006468795,8.8509988616,9.1730099806,8.6469739756
EOS,2018-07-07,8.621005057,8.839734645,8.8708074,8.3040553111
EOS,2018-07-08,8.5189449447,8.623561357,8.6957145498,8.3781837669
EOS,2018-07-09,8.7803070988,8.5195636,8.9712411016,8.4952812907
EOS,2018-07-10,8.1228483402,8.7803507156,8.7806688823,8.0190017727
EOS,2018-07-11,7.3748997776,8.1244521122,8.1628443175,7.1005579309
EOS,2018-07-12,7.066123335,7.1543638491,7.4046585529,6.7603750184
EOS,2018-07-13,6.6740495278,7.1840468432,7.1846081845,6.5675396872
EOS,2018-07-14,6.89308931,6.9159831,7.2279358256,6.691536432
